ID;time;volume;type;MIT_conc_nom;CMIT_conc_nom;CMITMIT_conc_nom;MIT_conc_theo;CMIT_conc_theo;SI_conc_theo;replicate;MIT;CMIT;SI
TA_M_1-75_24_R10;1;NA;acute;1.75;0;0;NA;0;1.5;10;6717.524;0,00;7859.927
TA_M_1-5_0_R10;0;NA;acute;1.5;0;0;NA;0;1.5;10;5814.374;0,00;7468.237
TA_M_1-5_24_R10;1;NA;acute;1.5;0;0;NA;0;1.5;10;5973.133;0,00;8038.217
TA_M_1-25_0_R10;0;NA;acute;1.25;0;0;NA;0;1.5;10;5091.15;0,00;8028.815
TA_M_1-25_24_R10;1;NA;acute;1.25;0;0;NA;0;1.5;10;5251.72;0,00;8444.71
TA_M_1-0_0_R10;0;NA;acute;1.0;0;0;NA;0;1.5;10;4322.735;0,00;8542.553
TA_M_1-0_24_R10;1;NA;acute;1.0;0;0;NA;0;1.5;10;4155.223;0,00;8779.168
TA_M_0-75_0_R10;0;NA;acute;0.75;0;0;NA;0;1.5;10;3447.734;0,00;8966.851
TA_M_0-75_24_R10;1;NA;acute;0.75;0;0;NA;0;1.5;10;3415.108;0,00;8893.07
TA_M_0-5_0_R10;0;NA;acute;0.5;0;0;NA;0;1.5;10;2376.897;0,00;9390.524
TA_M_0-5_24_R10;1;NA;acute;0.5;0;0;NA;0;1.5;10;2397.582;0,00;9368.069
TA_M_0-25_0_R10;0;NA;acute;0.25;0;0;NA;0;1.5;10;1448.81;0,00;10049.791
TA_M_0-25_24_R10;1;NA;acute;0.25;0;0;NA;0;1.5;10;1381.439;0,00;9902.89
TC_50_J0_R10;0;NA;chronic;50;0;0;NA;0;50;10;753.351;0,00;1525.784
TC_50_1L_J3_R10;3;1000;chronic;50;0;0;NA;0;50;10;380.137;0,00;887.434
TC_50_1L_J7_R10;7;1000;chronic;50;0;0;NA;0;50;10;173.6;0,00;971.192
TC_50_85_J3_R10;3;85;chronic;50;0;0;NA;0;50;10;633.608;0,00;1081.477
TC_50_85_J7_R10;7;85;chronic;50;0;0;NA;0;50;10;343.752;0,00;1129.95
TC_08_J0_R10;0;NA;chronic;0.8;0;0;NA;0;0.8;10;32.434;0,00;62.371
TC_08_1L_J3_R10;3;1000;chronic;0.8;0;0;NA;0;0.8;10;23.53;0,00;46.791
TC_08_1L_J7_R10;7;1000;chronic;0.8;0;0;NA;0;0.8;10;11.441;0,00;34.203
TC_08_85_J3_R10;3;85;chronic;0.8;0;0;NA;0;0.8;10;186.855;0,00;311.97
TC_08_85_J7_R10;7;85;chronic;0.8;0;0;NA;0;0.8;10;62.062;0,00;134.042
